Marker,r,mean_doc,se_doc
c,100,0.5535362706666258,0.02353657379484605
a,100,0.4542935848000252,0.05427842667003728
g,100,0.37445142490688355,0.09936966155944203
d,100,0.35074783878375243,0.11557710058490789
e,100,0.31372836266919873,0.05684009046054659
b,100,0.2934623713806777,0.0978001161031606
f,100,0.2292731371308965,0.08461059306323619
h,100,0.2013943037117094,0.10513658209137319
