unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F01,a,0,0,0,0,0,0,1
Lung9_Rep1_F01,a,10,0.0023426061775734253,0,0,0,-0.0023426061775734253,1
Lung9_Rep1_F01,a,20,0.009337549281009827,0,0,0,-0.009337549281009827,1
Lung9_Rep1_F01,a,30,0.020886970763185908,0,0.0014473396940293637,-0.0014473396940293637,-0.020886970763185908,1
Lung9_Rep1_F01,a,40,0.03683030711973134,0.05755395683453238,0.015222159942190913,0.04233179689234146,0.020723649714801035,1
Lung9_Rep1_F01,a,50,0.05694800433490832,0.26811594202898553,0.03559621359015435,0.23251972843883117,0.2111679376940772,1
Lung9_Rep1_F01,a,60,0.08096654850209828,0.4253731343283582,0.07138240633001253,0.3539907279983457,0.34440658582625994,1
Lung9_Rep1_F01,a,70,0.10856465151782613,0.5037593984962406,0.09841006447031826,0.4053493340259224,0.3951947469784145,1
Lung9_Rep1_F01,a,80,0.13938039637982802,0.6466165413533834,0.13370383235375718,0.5129127089996263,0.5072361449735554,1
Lung9_Rep1_F01,a,90,0.17301912017739662,0.706766917293233,0.17242470397042386,0.5343422133228092,0.5337477971158364,1
Lung9_Rep1_F01,a,100,0.20906179525819735,0.803030303030303,0.21445284833743652,0.5885774546928665,0.5939685077721056,1
Lung9_Rep1_F01,a,110,0.24707366077297543,0.8320610687022901,0.2509161232078972,0.5811449454943929,0.5849874079293147,1
Lung9_Rep1_F01,a,120,0.286612857879477,0.8538461538461538,0.29661465601224474,0.557231497833909,0.5672332959666768,1
Lung9_Rep1_F01,a,130,0.32723883194142434,0.875,0.3359146259145638,0.5390853740854362,0.5477611680585757,1
Lung9_Rep1_F01,a,140,0.3685202833052186,0.890625,0.3823918557096595,0.5082331442903405,0.5221047166947814,1
Lung9_Rep1_F01,a,150,0.4100424735550373,0.890625,0.4227696007748951,0.4678553992251049,0.4805825264449627,1
Lung9_Rep1_F01,a,160,0.4514137251476392,0.9133858267716536,0.4601637963085855,0.4532220304630681,0.46197210162401436,1
Lung9_Rep1_F01,a,170,0.4922709874381991,0.9112903225806451,0.4986475068407216,0.4126428157399235,0.41901933514244605,1
Lung9_Rep1_F01,a,180,0.5322843796581462,0.9193548387096774,0.5353002852340359,0.38405455347564144,0.38707045905153115,1
Lung9_Rep1_F01,a,190,0.5711606597175978,0.9256198347107438,0.5773395659870766,0.34828026872366724,0.35445917499314605,1
Lung9_Rep1_F01,a,200,0.6086456051765305,0.9243697478991597,0.6130380895103805,0.3113316583887792,0.31572414272262916,1
Lung9_Rep1_F01,b,0,0,0,0,0,0,1
Lung9_Rep1_F01,b,10,0.006218575269031357,0,0,0,-0.006218575269031357,1
Lung9_Rep1_F01,b,20,0.024643237416541397,0,0,0,-0.024643237416541397,1
Lung9_Rep1_F01,b,30,0.05459504577154295,0.05352112676056338,0.005754199310351882,0.047766927450211494,-0.001073919010979571,1
Lung9_Rep1_F01,b,40,0.09498870824669714,0.18840579710144928,0.036919891438900725,0.15148590566254855,0.09341708885475214,1
Lung9_Rep1_F01,b,50,0.144397841143732,0.48104956268221577,0.09893856004374563,0.38211100263847014,0.3366517215384838,1
Lung9_Rep1_F01,b,60,0.20113849298754016,0.727810650887574,0.17709217874197428,0.5507184721455998,0.5266721579000339,1
Lung9_Rep1_F01,b,70,0.26336412009543786,0.8825301204819277,0.24690588470498673,0.6356242357769409,0.6191660003864898,1
Lung9_Rep1_F01,b,80,0.3291645701621617,0.9351851851851852,0.31257259390133535,0.6226125912838498,0.6060206150230235,1
Lung9_Rep1_F01,b,90,0.39666174294900214,0.95625,0.38512512892441947,0.5711248710755805,0.5595882570509979,1
Lung9_Rep1_F01,b,100,0.46409539756239326,0.9807692307692307,0.4543187758456231,0.5264504549236076,0.5166738332068375,1
Lung9_Rep1_F01,b,110,0.529893929712317,0.987012987012987,0.5221154102953113,0.46489757671767573,0.45711905730067004,1
Lung9_Rep1_F01,b,120,0.5927266610804407,0.9900990099009901,0.5897614140572759,0.4003375958437142,0.3973723488205494,1
Lung9_Rep1_F01,b,130,0.6515360519758244,0.99,0.6497591813552425,0.3402408186447575,0.33846394802417556,1
Lung9_Rep1_F01,b,140,0.7055500572394555,0.9897959183673469,0.7070036834732896,0.28279223489405736,0.2842458611278914,1
Lung9_Rep1_F01,b,150,0.7542764135529327,0.9897260273972602,0.7529325210505357,0.23679350634672458,0.2354496138443275,1
